"","Class_Name","Sub_Class_Name","Date","NetSales"
"332","Flours","Besan (Chana Flour)","01.09.2014",2190.4
"333","Flours","Besan (Chana Flour)","01.10.2014",3443.9
"334","Flours","Besan (Chana Flour)","01.11.2014",3814
"335","Flours","Besan (Chana Flour)","02.08.2014",4827.88
"336","Flours","Besan (Chana Flour)","02.09.2014",2661.3
"337","Flours","Besan (Chana Flour)","02.10.2014",3099.9
"338","Flours","Besan (Chana Flour)","02.11.2014",4862.3
"339","Flours","Besan (Chana Flour)","03.08.2014",4603.2
"340","Flours","Besan (Chana Flour)","03.09.2014",1854.8
"341","Flours","Besan (Chana Flour)","03.10.2014",2879.9
"342","Flours","Besan (Chana Flour)","03.11.2014",2988.65
"343","Flours","Besan (Chana Flour)","04.08.2014",1866
"344","Flours","Besan (Chana Flour)","04.09.2014",2309.68
"345","Flours","Besan (Chana Flour)","04.10.2014",3179.9
"346","Flours","Besan (Chana Flour)","04.11.2014",2850.9
"347","Flours","Besan (Chana Flour)","05.08.2014",3164
"348","Flours","Besan (Chana Flour)","05.09.2014",2148.08
"349","Flours","Besan (Chana Flour)","05.10.2014",3991.9
"350","Flours","Besan (Chana Flour)","05.11.2014",2029.8
"351","Flours","Besan (Chana Flour)","06.08.2014",2078
"352","Flours","Besan (Chana Flour)","06.09.2014",3728.72
"353","Flours","Besan (Chana Flour)","06.10.2014",2734.55
"354","Flours","Besan (Chana Flour)","06.11.2014",2295
"355","Flours","Besan (Chana Flour)","07.08.2014",2266.1
"356","Flours","Besan (Chana Flour)","07.09.2014",4049.65
"357","Flours","Besan (Chana Flour)","07.10.2014",1760
"358","Flours","Besan (Chana Flour)","07.11.2014",2280.75
"359","Flours","Besan (Chana Flour)","08.08.2014",994
"360","Flours","Besan (Chana Flour)","08.09.2014",1787.3
"361","Flours","Besan (Chana Flour)","08.10.2014",1462
"362","Flours","Besan (Chana Flour)","08.11.2014",3039.2
"363","Flours","Besan (Chana Flour)","09.08.2014",4012.44
"364","Flours","Besan (Chana Flour)","09.09.2014",2350
"365","Flours","Besan (Chana Flour)","09.10.2014",2076
"366","Flours","Besan (Chana Flour)","09.11.2014",3513.72
"367","Flours","Besan (Chana Flour)","10.08.2014",3427.67
"368","Flours","Besan (Chana Flour)","10.09.2014",1991.15
"369","Flours","Besan (Chana Flour)","10.10.2014",1592
"370","Flours","Besan (Chana Flour)","10.11.2014",1951
"371","Flours","Besan (Chana Flour)","11.08.2014",2133.5
"372","Flours","Besan (Chana Flour)","11.09.2014",1799.15
"373","Flours","Besan (Chana Flour)","11.10.2014",3698.5
"374","Flours","Besan (Chana Flour)","11.11.2014",1981
"375","Flours","Besan (Chana Flour)","12.08.2014",1910.3
"376","Flours","Besan (Chana Flour)","12.09.2014",2128.8
"377","Flours","Besan (Chana Flour)","12.10.2014",3804.9
"378","Flours","Besan (Chana Flour)","12.11.2014",1321
"379","Flours","Besan (Chana Flour)","13.08.2014",1870.95
"380","Flours","Besan (Chana Flour)","13.09.2014",2719.4
"381","Flours","Besan (Chana Flour)","13.10.2014",2798
"382","Flours","Besan (Chana Flour)","13.11.2014",1903.85
"383","Flours","Besan (Chana Flour)","14.08.2014",2050
"384","Flours","Besan (Chana Flour)","14.09.2014",3795.6
"385","Flours","Besan (Chana Flour)","14.10.2014",2317.9
"386","Flours","Besan (Chana Flour)","14.11.2014",1939.12
"387","Flours","Besan (Chana Flour)","15.08.2014",3225.1
"388","Flours","Besan (Chana Flour)","15.09.2014",1383.6
"389","Flours","Besan (Chana Flour)","15.10.2014",2509.9
"390","Flours","Besan (Chana Flour)","15.11.2014",2744.02
"391","Flours","Besan (Chana Flour)","16.08.2014",4477.3
"392","Flours","Besan (Chana Flour)","16.09.2014",1652.2
"393","Flours","Besan (Chana Flour)","16.10.2014",2932
"394","Flours","Besan (Chana Flour)","16.11.2014",2708.12
"395","Flours","Besan (Chana Flour)","17.08.2014",3341.7
"396","Flours","Besan (Chana Flour)","17.09.2014",1182
"397","Flours","Besan (Chana Flour)","17.10.2014",2080.8
"398","Flours","Besan (Chana Flour)","17.11.2014",1297.12
"399","Flours","Besan (Chana Flour)","18.08.2014",1248.98
"400","Flours","Besan (Chana Flour)","18.09.2014",1364
"401","Flours","Besan (Chana Flour)","18.10.2014",7077.7
"402","Flours","Besan (Chana Flour)","18.11.2014",1411.9
"403","Flours","Besan (Chana Flour)","19.08.2014",1054
"404","Flours","Besan (Chana Flour)","19.09.2014",1275
"405","Flours","Besan (Chana Flour)","19.10.2014",9587.7
"406","Flours","Besan (Chana Flour)","20.08.2014",1138.4
"407","Flours","Besan (Chana Flour)","20.09.2014",2300
"408","Flours","Besan (Chana Flour)","20.10.2014",4250.9
"409","Flours","Besan (Chana Flour)","21.08.2014",1181.6
"410","Flours","Besan (Chana Flour)","21.09.2014",2182
"411","Flours","Besan (Chana Flour)","21.10.2014",4589.6
"412","Flours","Besan (Chana Flour)","22.08.2014",1414.6
"413","Flours","Besan (Chana Flour)","22.09.2014",1333.75
"414","Flours","Besan (Chana Flour)","22.10.2014",1441
"415","Flours","Besan (Chana Flour)","23.08.2014",2066.96
"416","Flours","Besan (Chana Flour)","23.09.2014",942
"417","Flours","Besan (Chana Flour)","23.10.2014",1605.9
"418","Flours","Besan (Chana Flour)","24.08.2014",2543.8
"419","Flours","Besan (Chana Flour)","24.09.2014",1248
"420","Flours","Besan (Chana Flour)","24.10.2014",1692.9
"421","Flours","Besan (Chana Flour)","25.08.2014",1819.7
"422","Flours","Besan (Chana Flour)","25.09.2014",1254.65
"423","Flours","Besan (Chana Flour)","25.10.2014",2195
"424","Flours","Besan (Chana Flour)","26.08.2014",1920.4
"425","Flours","Besan (Chana Flour)","26.09.2014",1294
"426","Flours","Besan (Chana Flour)","26.10.2014",2434
"427","Flours","Besan (Chana Flour)","27.08.2014",1674.8
"428","Flours","Besan (Chana Flour)","27.09.2014",962
"429","Flours","Besan (Chana Flour)","27.10.2014",1421
"430","Flours","Besan (Chana Flour)","28.08.2014",2142.1
"431","Flours","Besan (Chana Flour)","28.09.2014",2891
"432","Flours","Besan (Chana Flour)","28.10.2014",1231
"433","Flours","Besan (Chana Flour)","29.08.2014",1811.6
"434","Flours","Besan (Chana Flour)","29.09.2014",1777
"435","Flours","Besan (Chana Flour)","29.10.2014",1316
"436","Flours","Besan (Chana Flour)","30.08.2014",3204.5
"437","Flours","Besan (Chana Flour)","30.09.2014",2052
"438","Flours","Besan (Chana Flour)","30.10.2014",1479
"439","Flours","Besan (Chana Flour)","31.08.2014",2894
"440","Flours","Besan (Chana Flour)","31.10.2014",1402
"441","Pulses","Chana Dal","01.08.2014",12746.799
"442","Pulses","Chana Dal","01.09.2014",12554.7925
"443","Pulses","Chana Dal","01.10.2014",20728.824
"444","Pulses","Chana Dal","01.11.2014",18067.601
"445","Pulses","Chana Dal","02.08.2014",23038.638
"446","Pulses","Chana Dal","02.09.2014",13456.3465
"447","Pulses","Chana Dal","02.10.2014",21191.457
"448","Pulses","Chana Dal","02.11.2014",20788.969
"449","Pulses","Chana Dal","03.08.2014",22445.605
"450","Pulses","Chana Dal","03.09.2014",8615.4525
"451","Pulses","Chana Dal","03.10.2014",20276.6609
"452","Pulses","Chana Dal","03.11.2014",13215.653
"453","Pulses","Chana Dal","04.08.2014",15510.751
"454","Pulses","Chana Dal","04.09.2014",13469.102
"455","Pulses","Chana Dal","04.10.2014",18657.519
"456","Pulses","Chana Dal","04.11.2014",13269.12
"457","Pulses","Chana Dal","05.08.2014",13043.28
"458","Pulses","Chana Dal","05.09.2014",10560.6635
"459","Pulses","Chana Dal","05.10.2014",19319.975
"460","Pulses","Chana Dal","05.11.2014",10222.05
"461","Pulses","Chana Dal","06.08.2014",11826.008
"462","Pulses","Chana Dal","06.09.2014",21457.73
"463","Pulses","Chana Dal","06.10.2014",14515.642
"464","Pulses","Chana Dal","06.11.2014",9345.32
"465","Pulses","Chana Dal","07.08.2014",14552.422
"466","Pulses","Chana Dal","07.09.2014",21442.559
"467","Pulses","Chana Dal","07.10.2014",13304.308
"468","Pulses","Chana Dal","07.11.2014",7741.1
"469","Pulses","Chana Dal","08.08.2014",5773.576
